TestPlan information Reading from logfile: TEST_PLAN V1_3,Cmd,Status,CMD_TIME (second),Used time (second),Hot time (second),Temperature (°C),Hot times
"iBoot Version: iBoot-7459.100.363.101.2
Rtos Version: PeRtosFactoryTests_H13G-1.0.20
Rbm Version: SiValFactoryTests_H13G-100040"
647,sc run 407 5 -coredown 0xb0,Rtos,5.040513,5.159,,,
648,sc run 429 5 -coredown 0xb0,Rtos,5.022515,5.13,,,
649,sc run 38 5 -coredown 0xd0,Rtos,2.019346,2.126,,,
650,sc run 404 5 -coredown 0xd0,Rtos,5.073215,5.207,,,
651,sc run 406 5 -coredown 0xd0,Rtos,5.122101,5.238,,,
652,sc run 407 5 -coredown 0xd0,Rtos,5.046834,5.16,,,
653,sc run 429 5 -coredown 0xd0,Rtos,5.040916,5.161,,,
654,pmgr mode 0xd502256,Rtos,0.000276,0.031,,,
655,sc run 34 5 -coredown 0x30,Rtos,5.020517,5.131,,,
656,sc run 38 5 -coredown 0x30,Rtos,2.016965,2.126,,,
657,sc run 39 5 -coredown 0x30,Rtos,5.052782,5.161,,,
658,sc run 41 5 -coredown 0x30,Rtos,5.032627,5.144,,,
659,sc run 400 5 -coredown 0x30,Rtos,5.052671,5.176,,,
660,sc run 402 5 -coredown 0x30,Rtos,5.052187,5.16,,,
661,sc run 34 5 -coredown 0xC0,Rtos,5.027353,5.146,,,
662,sc run 38 5 -coredown 0xC0,Rtos,2.020144,2.142,,,
663,sc run 41 5 -coredown 0xC0,Rtos,5.035826,5.144,,,
664,sc run 400 5 -coredown 0xC0,Rtos,5.032595,5.144,,,
665,sc run 402 5 -coredown 0xC0,Rtos,5.033158,5.145,,,
666,sc run 34 5 -coredown 0x90,Rtos,5.02726,5.145,,,
667,sc run 38 5 -coredown 0x90,Rtos,2.015534,2.126,,,
668,sc run 41 5 -coredown 0x90,Rtos,5.039387,5.16,,,
669,sc run 400 5 -coredown 0x90,Rtos,5.027863,5.146,,,
670,sc run 402 5 -coredown 0x90,Rtos,5.057776,5.175,,,
