attributeName,attributeValue,testName,subTestName,subSubTestName,relaxedUpperLimit,upperLimit,measurementValue,lowerLimit,relaxedLowerLimit,measurementUnits,priority,status,failureMessage,startTime,stopTime,timeInterval
SwName,LN DFU,,,,,,,,,,,,,,,
SwVersion,A_2.33.0.2-M_2.1.0-S0.0.6,,,,,,,,,,,,,,,
PrimaryIdentity,DLX1443001H1M9K1K,,,,,,,,,,,,,,,
LimitVersion,v1.0.0,,,,,,,,,,,,,,,
FixtureID,SC20210131LH-000004,,,,,,,,,,,,,,,
HeadID,4,,,,,,,,,,,,,,,
,,Power,On_Seq_1,DELAY_1000MS_DFU,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_DFUMode,Check,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_1,Restore_complete,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_2,Restore_Hang_Check,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_2,Kernel_Panic,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_2,Iboot_Panic,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,MLB_Type,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Waiting_Position_percentage,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,DFU_download,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Booting,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Personalizing_Restore_Bundle,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Setting_Date_and_Time,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Loading_Firmware_To_Flash,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Waiting_for_NAND,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Updating_NAND_Firmware,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Creating_Partition_Map,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Restoring_image,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Verifying_restore,,1,1,0,,,,PASS,No user failure message was provided,,,
,,SOC,Restore_NonUI_DCSD_3,Flashing_firmware,,1,1,0,,,,PASS,No user failure message was provided,,,
